AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn
13,17.247632480540453,224.2192222470259,Basic,Mailed check,No,TV Shows,No,Mobile,30.745391762396228,151.07015203412075,22,Action,1.6309815003132369,8,Male,20,Yes,No,JI81SWFJEL,1
93,9.03266335,840.0376915331057,Premium,Electronic check,Yes,Movies,Yes,Tablet,6.409201996417517,17.464843076407234,2,Comedy,2.012965415097588,1,Female,16,No,Yes,ERBB02N50M,1
60,19.096253789919103,1145.7752273951462,Premium,Mailed check,No,TV Shows,Yes,Mobile,30.18459866694255,68.16708911334032,31,Action,2.0868509293816384,9,Female,2,No,Yes,X42SKZ2XD2,0
92,13.165080415615254,1211.1873982366033,Premium,Mailed check,No,TV Shows,No,Mobile,26.336932155004213,69.68099557909872,43,Fantasy,1.6678792596605159,6,Male,4,Yes,Yes,BXCFOV6I96,1
20,7.0713283299747065,141.42656659949412,Premium,Electronic check,No,Both,No,TV,20.876295210788246,160.31297981959648,26,Action,3.6911319711982697,1,Female,11,No,Yes,MF1SC9PYG7,0
68,11.262860850738004,765.8745378501843,Premium,Mailed check,No,Movies,No,Tablet,14.028652192289908,138.36154765857907,4,Action,1.5771363827888067,3,Male,3,Yes,No,CKFFXH7HI2,1
95,19.949140568928577,1895.1683540482147,Basic,Credit card,No,Movies,No,Tablet,25.41287134228829,114.34006506146876,10,Comedy,4.428861223532575,4,Female,6,Yes,No,ST7PL4ERTV,0
83,15.065982757097668,1250.4765688391064,Standard,Bank transfer,Yes,TV Shows,Yes,Mobile,11.712166029586534,152.93427465789034,49,Action,4.311331758993684,4,Female,9,Yes,No,NUCJE2MCTW,0
14,14.991474716680585,209.8806460335282,Premium,Credit card,No,Both,No,Mobile,1.0088451029125105,127.03145382259969,43,Fantasy,4.121702916768357,6,Female,13,No,No,SSZRZUVKQ7,1
109,18.490830935293005,2015.5005719469375,Basic,Credit card,No,Both,No,TV,18.568544150608695,34.17181532389239,5,Action,1.7299236975634145,2,Female,11,No,No,EFUEJ62P72,1
13,18.118331573455233,235.53831045491802,Standard,Bank transfer,Yes,Movies,No,Tablet,27.901322082949772,55.059615923546566,15,Sci-Fi,1.2056936010421313,5,Female,11,No,Yes,ODDJKX0E6E,1
84,13.468356524996947,1131.3419480997436,Basic,Electronic check,Yes,Both,Yes,TV,17.723714287706485,160.7266931597137,3,Fantasy,4.876098523584319,1,Female,14,No,Yes,TFYJP3A1W8,1
79,6.132938442398693,484.50213694949673,Standard,Bank transfer,No,TV Shows,Yes,Mobile,16.610750547714982,6.824177680246372,0,Action,1.8645701009310254,0,Male,20,No,Yes,44KFC75NUV,1
100,10.355840435432945,1035.5840435432945,Standard,Mailed check,Yes,Both,No,TV,13.343876922195523,154.76925130362616,40,Sci-Fi,2.240762401170645,5,Male,14,No,Yes,Y0I9QF9MWN,0
95,16.859331150692302,1601.6364593157687,Basic,Electronic check,No,Movies,Yes,Mobile,22.3846632,35.11404658829018,38,Fantasy,3.998185429581595,6,Female,10,Yes,No,XX0GTNXUKS,1
34,19.274497005175213,655.3328981759572,Premium,Bank transfer,No,TV Shows,No,Mobile,34.36194369088012,32.549732166614646,27,Sci-Fi,4.8430087684966034,5,Female,14,Yes,No,CVADCYGETN,1
31,11.488714542123752,356.1501508058363,Standard,Electronic check,Yes,Movies,Yes,TV,4.189044722793614,20.051567109514686,36,Comedy,3.110532726738498,8,Female,21,No,Yes,E1AMJFSQ57,0
13,6.151111064960894,79.96444384449163,Basic,Bank transfer,No,TV Shows,No,Computer,6.668657556234733,56.93207313982844,29,Sci-Fi,4.6273585807695135,4,Male,4,No,No,PFSXIHTN8Y,1
14,19.44922442351538,272.2891419292153,Basic,Mailed check,No,Movies,Yes,Tablet,13.64795346046595,41.204783519113406,33,Fantasy,3.458387885092911,0,Male,3,No,Yes,VVYPQ8TCEK,0
113,16.902660057317185,1910.0005864768418,Standard,Credit card,No,Movies,Yes,Computer,14.797738494541697,42.81591207658302,31,Action,4.376658695316506,1,Female,16,No,Yes,IAU3LKQQDU,0
69,5.156958617,355.8301445604855,Standard,Credit card,Yes,Movies,No,Mobile,7.090681712437469,20.97168217841715,19,Comedy,2.2857374331026774,8,Male,17,No,No,JCH7GKD30E,1
81,15.899044585820876,1287.822611451491,Basic,Electronic check,No,Movies,No,Tablet,19.748213450628516,82.46419207525952,45,Drama,1.6955238017486352,8,Female,13,No,No,9SDHVUPFGJ,0
44,10.660693231960106,469.07050220624467,Basic,Credit card,Yes,Movies,Yes,Computer,32.716286388416535,111.80212370036695,5,Sci-Fi,3.0956692102070327,4,Female,2,No,No,B5U3X0M35Z,0
86,17.588596999359908,1512.619341944952,Basic,Electronic check,No,Movies,Yes,Mobile,24.052346955403912,106.41222904042347,22,Drama,1.992817414139338,0,Male,17,No,No,Y4MGOX0GQ4,0
8,15.330805959247812,122.6464476739825,Premium,Electronic check,No,Movies,Yes,TV,19.15149786270066,12.311991888867123,24,Drama,2.597039056997497,7,Female,1,Yes,Yes,M8NWG7QXNA,1
108,17.78443636,1920.7191273137498,Premium,Credit card,Yes,TV Shows,Yes,Computer,26.111702554674807,99.93107565834765,42,Action,2.5995003930381015,8,Female,1,No,Yes,2S71ZFKYI6,1
115,7.967544433418681,916.2676098431483,Basic,Credit card,No,Movies,Yes,Tablet,17.48513278680417,64.61575313,29,Fantasy,1.919341837138837,4,Male,1,Yes,No,1MFQLC5BJS,0
8,5.6201539451017934,44.96123156081435,Basic,Electronic check,No,TV Shows,No,Tablet,3.1563413563996936,172.73253305990164,33,Comedy,4.202148702,8,Male,2,No,No,PH9896DDYJ,1
30,19.238386400153995,577.1515920046198,Basic,Electronic check,No,Movies,Yes,Mobile,28.422851449766103,36.99312189984545,49,Action,2.4383998354779064,9,Female,6,No,No,AH9DO7LJ8X,1
92,13.176548726454504,1212.2424828338144,Basic,Mailed check,Yes,Movies,No,Mobile,17.05152512222106,55.29350209764672,40,Sci-Fi,1.1277625977470964,2,Male,7,Yes,No,L2TKX7MMYS,1
40,7.874172635968645,314.9669054387458,Standard,Electronic check,Yes,Movies,Yes,Mobile,2.0775114782574096,136.04847773934296,20,Drama,3.463951264612727,5,Female,2,Yes,Yes,UIIAJNWDZC,0
71,5.4565490312890725,387.41498122152416,Standard,Credit card,Yes,TV Shows,No,Tablet,23.26964816111832,172.3180516961775,36,Fantasy,1.389643964,9,Female,1,No,No,4IXK0Y41D3,0
24,13.371361438223156,320.91267451735575,Basic,Mailed check,No,Movies,Yes,Mobile,30.19236076,97.46817778192563,36,Drama,1.7416230670754054,5,Male,7,No,Yes,Z3IRMHWBXR,1
90,7.569077382141783,681.2169643927605,Premium,Credit card,No,Movies,Yes,Tablet,18.721944357643746,76.49240629,30,Action,4.309301923026728,3,Female,1,Yes,No,XO2DRQ52LD,0
32,16.389935989257573,524.4779516562423,Basic,Bank transfer,No,Movies,Yes,Tablet,4.300741549314921,31.939112056897972,46,Sci-Fi,4.756702534508308,2,Male,24,Yes,No,46Q76H9FRL,1
16,10.647234571020862,170.3557531363338,Premium,Bank transfer,No,Movies,Yes,Computer,9.024049298525167,50.38752029,10,Sci-Fi,2.771104196826619,6,Female,19,Yes,No,HT7UUTLR3N,1
69,13.930756131127618,961.2221730478057,Basic,Bank transfer,No,Both,Yes,TV,32.25087347477509,90.63932606858826,23,Comedy,4.050669836649494,0,Male,12,No,Yes,QTFTZKZ9NR,0
45,5.154944860673357,231.97251873030106,Premium,Mailed check,Yes,Movies,Yes,TV,6.813204359574405,43.37620229763388,41,Action,1.3199868002439747,3,Male,10,Yes,No,5EH1X87OQ9,0
107,11.857195484034083,1268.719916791647,Standard,Mailed check,No,TV Shows,No,TV,28.812590815153225,26.33286633,28,Sci-Fi,1.1748795048751832,5,Female,2,No,Yes,SWJFO01AW9,0
42,14.63521559329923,614.6790549185677,Premium,Bank transfer,No,Movies,No,Computer,23.84782278043602,36.39377471230087,24,Sci-Fi,1.9199598754413718,2,Male,6,Yes,No,W9BE1LAZIG,0
5,6.121686989410952,30.60843494705476,Standard,Mailed check,No,Both,Yes,Computer,11.051257211777152,70.32076971481722,29,Fantasy,4.040420877353025,7,Female,19,No,No,OQLXY7N1HZ,1
7,17.610473779144815,123.27331645401371,Basic,Mailed check,Yes,Movies,Yes,Tablet,6.067079198202286,43.20145433,41,Sci-Fi,2.8838948826023847,7,Female,21,No,No,UI8V82WN7Q,1
59,9.942694654,586.6189845907035,Basic,Electronic check,No,Movies,No,Tablet,21.04587976754788,35.45251529648924,27,Action,1.0170239156523713,9,Male,17,No,Yes,8MZMLMHLLF,1
55,15.180181643954816,834.9099904175149,Premium,Bank transfer,No,Movies,No,Computer,11.250107651369941,25.44417202829377,39,Action,3.4545809535143825,1,Male,13,Yes,No,4J469X1WRV,1
20,12.639079122244304,252.78158244488608,Basic,Bank transfer,No,TV Shows,No,Mobile,11.990667171945969,63.52408018783743,0,Fantasy,3.156750488,2,Female,6,Yes,No,HODOV0VVHF,1
9,17.033444502910392,153.30100052619352,Basic,Bank transfer,Yes,Movies,Yes,Computer,21.910679289145236,36.475251963849956,44,Fantasy,3.053905377651805,2,Male,15,Yes,No,J7E4YQC9Y9,1
16,17.667424713531744,282.6787954165079,Premium,Electronic check,Yes,Both,Yes,Tablet,31.68965583910539,157.84576384545153,23,Sci-Fi,3.103254129725432,2,Male,19,No,No,5D4FGMDWHN,0
85,17.229422486837535,1464.5009113811905,Premium,Credit card,No,Both,No,Tablet,35.82292533323994,45.65683092991338,23,Action,1.598533072661457,4,Female,3,Yes,Yes,QEOXSZ6XVC,0
45,11.021675925451135,495.97541664530104,Premium,Credit card,Yes,TV Shows,Yes,Computer,16.089396230718286,80.16086624729533,21,Sci-Fi,2.819845868477189,9,Female,9,Yes,No,BSW58HJKEL,1
86,7.072808497842889,608.2615308144884,Standard,Electronic check,Yes,TV Shows,Yes,TV,25.307919956839974,78.7578375,5,Drama,2.805197853267268,0,Male,7,No,Yes,JC3Z1MSOJ1,0
38,7.409941418489943,281.5777739026178,Standard,Bank transfer,No,Movies,No,Computer,20.540776340257032,75.71865283,20,Action,4.864443217041208,2,Female,24,No,Yes,DVJKS9XI17,0
50,19.906364091786383,995.3182045893192,Standard,Mailed check,Yes,Both,No,Computer,24.939598921382306,73.57586769164648,42,Drama,2.0113368291275813,4,Male,14,No,No,ZCOEYCZXEP,1
51,7.878108992604959,401.7835586228529,Standard,Bank transfer,Yes,Both,Yes,TV,38.53766918369149,11.55614193011045,6,Drama,3.9741325183884038,2,Male,16,No,Yes,AX43ZHGOCI,1
62,14.592962503926428,904.7636752434386,Basic,Mailed check,No,Movies,Yes,Tablet,4.004616243,84.81468812277552,36,Comedy,2.7490584154382836,0,Female,11,No,Yes,PD5Z6RKWY7,1
92,14.351598867833735,1320.3470958407036,Premium,Credit card,No,Movies,No,Mobile,8.968571887043034,94.37124169271499,34,Comedy,2.5830421803532406,8,Male,7,Yes,No,QHMGJUAYNR,0
24,19.58814929592327,470.11558310215844,Basic,Credit card,No,Both,Yes,TV,32.25071832521104,168.24776414565108,23,Comedy,2.587978020602313,2,Male,4,Yes,No,V8HFUQ6K7P,1
18,13.680085042500648,246.24153076501167,Standard,Bank transfer,Yes,Movies,No,TV,25.61211021,50.61993327,42,Action,4.474025050589525,7,Male,10,Yes,No,EQSWDTQOKI,1
24,14.094089885818319,338.25815725963963,Standard,Bank transfer,No,Both,Yes,Mobile,21.997843727164565,72.98463230915071,17,Drama,2.5505148845901053,9,Female,0,No,No,880PHK6GMG,0
2,15.566842868710665,31.13368573742133,Basic,Bank transfer,Yes,TV Shows,Yes,Tablet,37.770984938525686,11.490507113417856,31,Sci-Fi,4.9312663154300775,4,Female,24,No,No,ZMH7AJWQKQ,1
60,7.0835953750753315,425.0157225045199,Premium,Credit card,Yes,Both,Yes,Computer,21.095359290981236,83.77808881991203,5,Comedy,1.144061025570632,8,Male,10,No,Yes,90ZOACTSG3,0
10,13.317290326218421,133.1729032621842,Standard,Mailed check,Yes,Movies,Yes,Tablet,31.98643681316476,99.94551928984647,32,Fantasy,1.0357339909106797,5,Male,4,No,No,SRJAZCTC6D,0
28,11.163045219212888,312.56526613796086,Premium,Electronic check,No,TV Shows,Yes,Computer,27.117416413214308,107.30690614263202,24,Drama,3.7674987237925777,8,Male,24,Yes,No,U95O9957Z9,1
7,11.835354398500158,82.84748079,Standard,Bank transfer,Yes,Movies,No,Tablet,28.49221086665531,35.69493000884097,11,Sci-Fi,4.192185255536703,2,Female,23,No,Yes,J4QDTUTKWC,1
40,8.378447107257058,335.13788429028233,Standard,Electronic check,Yes,TV Shows,Yes,TV,2.9404361252597746,120.09802309566017,9,Comedy,3.7772816822308726,7,Male,5,No,No,23EGD4TBRX,1
24,16.97721045351244,407.4530508842986,Standard,Credit card,No,Movies,Yes,Mobile,33.32970710390073,101.85995250755926,6,Drama,2.1143453820108893,1,Male,19,Yes,Yes,MM8SZGVT7X,1
116,10.035455808482343,1164.1128737839517,Premium,Credit card,No,TV Shows,No,Computer,36.875848553481724,179.60461986469346,13,Action,4.968674239187461,4,Male,1,No,No,794OFOLBMA,0
82,18.049211576067385,1480.0353492375257,Standard,Bank transfer,Yes,TV Shows,Yes,Tablet,27.39194393208881,42.129768867501355,22,Drama,1.8639401630740706,8,Female,19,No,No,XVS6VX0M70,1
13,6.448292585497686,83.82780361146992,Premium,Credit card,No,Both,No,Tablet,22.138241995689285,10.896722070086128,29,Fantasy,2.499348177648018,3,Male,3,No,Yes,5F0GKXWCFH,1
79,17.183792606611423,1357.5196159223024,Premium,Mailed check,Yes,Both,No,TV,16.304346929958516,5.852385013369878,6,Action,2.7612321627367313,5,Female,18,Yes,Yes,WAYJS7IQSR,1
10,15.829674537555237,158.29674537555238,Premium,Electronic check,Yes,Movies,Yes,TV,30.272314924217582,79.53804814201946,33,Sci-Fi,3.804888269510073,6,Male,15,Yes,No,IGR5MV66K9,0
105,5.824466759722964,611.5690097709112,Basic,Bank transfer,No,Both,Yes,Computer,16.35308324227766,46.40315122268088,24,Sci-Fi,2.662846742363699,8,Female,12,Yes,Yes,55CZDWPQVX,0
91,17.071645122194056,1553.519706119659,Standard,Credit card,Yes,Both,Yes,Computer,7.374375851976247,103.38784247542844,10,Sci-Fi,2.5254489729000276,4,Female,2,Yes,No,9COFSLK7RK,0
23,18.69431484,429.96924122210737,Standard,Electronic check,Yes,Movies,Yes,Tablet,3.527953120713428,6.852541253856707,3,Drama,2.837394793340716,4,Female,14,Yes,No,35LZBXV6AR,0
59,12.714373069869456,750.1480111222979,Basic,Electronic check,Yes,Both,Yes,Computer,24.95676880746827,28.881803334463513,42,Drama,1.9895239835591858,1,Female,14,Yes,No,EKK33AH8OQ,1
96,12.712748380111025,1220.4238444906584,Premium,Credit card,Yes,Movies,No,Tablet,6.626716760053527,117.80669817403286,43,Drama,2.0203614475166685,7,Male,4,No,No,C6XU225GYG,0
96,12.63974170978565,1213.4152041394223,Standard,Credit card,No,Both,No,Tablet,36.555709406197316,82.19502513544387,46,Comedy,3.931024745033577,8,Female,6,No,Yes,RIXSSQ151O,1
37,11.655628299928678,431.25824709736105,Basic,Credit card,No,TV Shows,Yes,TV,15.976398377036308,100.72010986190179,35,Drama,4.480543710474934,9,Female,13,Yes,Yes,5NAVJJE2AH,0
50,18.599717844980287,929.9858922490143,Premium,Credit card,No,TV Shows,No,Mobile,13.960143973582847,164.3722961543559,41,Drama,1.2251171565339316,3,Female,6,No,Yes,KY6VSWAW3X,1
76,8.094717060054476,615.1984965641402,Standard,Bank transfer,No,Movies,No,Mobile,27.780150102955353,63.33063071705647,1,Comedy,1.1321871789362246,1,Female,2,No,Yes,PGQ4345HV6,0
10,11.97479623811977,119.74796238119771,Basic,Mailed check,Yes,TV Shows,No,Mobile,30.918421450702613,58.02955430262473,43,Fantasy,3.269090089787412,7,Female,16,No,Yes,HITUZOVE79,1
47,18.674278277119555,877.6910790246191,Basic,Bank transfer,Yes,Movies,Yes,Computer,10.724288618637727,68.66831623964168,26,Drama,2.088221872998615,8,Female,16,No,Yes,WBZ7P7EI2U,1
21,18.526309350481085,389.0524963601028,Standard,Electronic check,Yes,Movies,No,Mobile,24.16755457918934,33.729550035995885,5,Action,3.0928196054205404,7,Female,9,Yes,No,MY0XA58CH2,0
13,15.621388540181618,203.07805102236102,Basic,Bank transfer,No,Both,Yes,Mobile,4.227933445355263,74.77852734541254,33,Comedy,3.7165470403977428,4,Female,24,No,Yes,7WL6EKHSX3,1
100,14.522476741014657,1452.2476741014657,Basic,Credit card,Yes,Both,Yes,Computer,1.5923380945593577,116.3244329,7,Action,2.642621016195224,5,Male,4,No,No,DL9DLPPJ1S,1
83,14.315341341917602,1188.173331379161,Premium,Credit card,No,TV Shows,No,Computer,31.947525773769772,35.807153417361704,46,Comedy,2.648685353503684,4,Male,10,Yes,No,1Z0LWPLYFK,1
4,8.358341506,33.43336602553252,Standard,Mailed check,Yes,TV Shows,No,TV,36.20842746607339,20.565124985578766,29,Comedy,3.2169579077581614,9,Female,1,No,Yes,OXLYJC7DZE,1
17,11.279643326337919,191.75393654774462,Basic,Electronic check,Yes,TV Shows,Yes,TV,18.703529406628984,84.01023980740784,24,Fantasy,4.545376026156282,7,Male,2,No,Yes,HDDO0CNTJM,1
6,9.598338270719534,57.590029624317204,Premium,Mailed check,Yes,Both,Yes,TV,20.157363582455464,24.93124006868805,46,Drama,1.5265347360609791,7,Female,8,No,No,AKE2GJR5W6,1
65,11.27108826767838,732.6207373990947,Standard,Credit card,Yes,Movies,No,TV,27.499190547777165,88.33160458685673,42,Drama,3.9349095952692412,0,Male,13,Yes,Yes,US8OMLH43Q,0
70,14.803783500728668,1036.264845051007,Basic,Credit card,Yes,Both,Yes,Mobile,19.024781196925787,35.35297510253827,36,Drama,3.3994974172575847,6,Female,2,Yes,No,4I8RSBRNJW,1
97,10.690413592246081,1036.970118,Basic,Credit card,Yes,TV Shows,No,Tablet,10.787794413171603,18.693256681406613,46,Drama,1.7277678512898453,9,Male,18,Yes,No,NVOP5BQJ68,1
77,6.5157983101753665,501.71646988350324,Basic,Mailed check,Yes,Movies,No,Computer,11.473517576982843,33.11142687859717,1,Comedy,1.3682727205261784,4,Female,24,No,Yes,KPFCKEXM6K,1
35,18.236777724533155,638.2872203586604,Standard,Credit card,No,Both,No,Tablet,17.624458102562734,133.08902806468328,0,Comedy,2.2204196857183587,8,Female,23,No,No,QOEJJ9E1LT,1
34,12.912933012921133,439.03972243931855,Standard,Electronic check,Yes,Both,No,Mobile,9.848799644679403,51.071987897476404,30,Comedy,4.263109303316142,8,Male,3,No,Yes,P242ZJ5A37,1
33,15.463988136868183,510.31160851665004,Premium,Bank transfer,No,Movies,Yes,Mobile,35.723185146386285,20.790602128830972,4,Drama,4.011205319985369,0,Male,4,Yes,Yes,TFTS6FB7W9,1
23,16.35731413,376.2182249309636,Premium,Mailed check,No,TV Shows,Yes,Computer,9.160411387243167,116.16820141444984,47,Fantasy,1.3547409732837155,6,Male,21,No,Yes,ZXRCB6K8VO,1
113,5.761703608913687,651.0725078072467,Basic,Bank transfer,No,Both,Yes,Computer,28.47342486450101,75.78386073086395,46,Action,1.1388608924178385,3,Male,10,No,Yes,2GH4W8IJJV,0
6,15.31030064824724,91.86180388948344,Standard,Credit card,No,TV Shows,Yes,Mobile,17.846319335431875,69.81729795197118,43,Sci-Fi,3.1982562646416195,5,Male,0,No,No,0YGOVB8901,1
6,5.382401983,32.2944119,Basic,Credit card,No,Both,No,Computer,24.385160383334696,17.190967798883513,14,Drama,3.3362623125004895,3,Male,7,Yes,Yes,70LZQ4ZKGM,0
97,13.394888655756974,1299.3041996084264,Premium,Credit card,No,TV Shows,Yes,TV,27.085190556077176,80.89468820825249,8,Action,1.8464957486605127,8,Male,14,Yes,No,OUEXOHBROX,0
110,15.17571259339064,1669.3283852729705,Basic,Electronic check,No,Both,No,Computer,34.73654261,133.87568634498592,30,Drama,3.4563603275185986,3,Female,3,No,Yes,AUL3H3PC10,0
70,8.733644925775465,611.3551448042825,Standard,Mailed check,Yes,Movies,No,Computer,33.378754573002055,91.26474649,23,Sci-Fi,1.7033147017729107,6,Male,23,Yes,Yes,NE4VHJLK4O,0
53,18.303846155927758,970.1038462641711,Standard,Electronic check,No,TV Shows,No,Mobile,15.198133931993258,124.25603836803928,32,Comedy,2.6406987576138232,2,Female,0,Yes,Yes,W4B7Q3BHCK,0
18,19.159740783622983,344.8753341052137,Basic,Mailed check,No,Both,Yes,Computer,1.0716750363226213,19.012331599807354,14,Sci-Fi,1.1930518741015153,2,Male,0,Yes,No,CFGBZY6URS,1
33,10.28841499916206,339.51769497234795,Standard,Mailed check,Yes,Both,No,TV,16.870856350655576,96.01636162,34,Sci-Fi,4.954582995450625,9,Female,19,Yes,No,JS2YBCKOM9,1
115,11.090481572428917,1275.4053808293254,Standard,Mailed check,No,Both,No,Mobile,4.582987433811878,153.10319624571423,43,Comedy,2.150536732415181,5,Male,5,Yes,Yes,6BAJVWUVJO,0
65,5.7080100469025625,371.0206530486666,Basic,Credit card,Yes,Movies,No,Computer,24.21415581838812,56.50517909115807,16,Comedy,1.853834335280383,2,Female,18,Yes,Yes,RN4YIQRAFY,0
104,17.94497961450577,1866.27788,Basic,Credit card,No,Both,No,TV,7.571175285890826,162.14757352573008,45,Sci-Fi,3.3393265242093606,8,Female,23,Yes,Yes,GOT660GJ8P,0
21,17.431250880257664,366.05626848541095,Premium,Mailed check,Yes,Movies,Yes,Computer,6.3879205320988675,163.10413754431994,22,Drama,2.4859151695518467,5,Female,8,No,No,5H2YU6BWC5,1
66,18.222745042225004,1202.7011727868503,Basic,Credit card,No,Both,No,TV,13.846299492292113,44.83045793967044,10,Drama,2.1566946857231915,0,Female,21,No,Yes,CUDKRY2MHK,1
62,18.28500296163199,1133.6701836211832,Standard,Electronic check,No,Movies,Yes,Computer,1.0432775294501964,14.137455143258252,0,Action,4.991250576619168,2,Female,7,Yes,No,07ET0P5OH7,0
90,10.074481624517755,906.7033462,Basic,Electronic check,Yes,Movies,No,Mobile,32.17199280740612,7.628869198618669,48,Action,4.584327933177298,5,Female,11,Yes,Yes,3F7R6FWW8U,0
12,9.012936607,108.15523928694924,Standard,Credit card,Yes,Both,No,TV,17.239085919034988,7.784567232138518,40,Drama,2.4783869827788427,4,Female,23,No,No,ZR6HWDUUTL,1
59,18.807523838461965,1109.6439064692559,Standard,Credit card,No,TV Shows,Yes,Mobile,8.674183883342172,144.28162701148534,28,Action,3.964263649204061,5,Female,9,No,Yes,T7FZIUAO3A,0
9,6.071872250388715,54.646850253498435,Premium,Electronic check,Yes,Both,No,Tablet,32.72177923840684,106.53130339824055,1,Action,2.370662909460678,8,Female,14,Yes,Yes,DGZ9PQ4F6Z,1
15,16.38764665945947,245.81469989189205,Basic,Mailed check,No,TV Shows,No,TV,15.93749316883831,114.4388193281277,41,Comedy,3.9202540056889172,2,Male,23,Yes,Yes,F7HBVOTLTO,1
33,9.873854305452003,325.8371920799161,Standard,Credit card,Yes,Both,No,TV,26.773555111655575,72.90482872795951,47,Action,1.0568833891849359,1,Male,11,Yes,Yes,NYHA57XGB1,0
20,19.82063196126836,396.41263922536723,Standard,Credit card,No,Both,No,Computer,17.021663801544207,160.97388792871337,18,Comedy,4.495737055,4,Female,8,No,Yes,SLTZTHJFZ9,1
3,14.209468982531464,42.62840694759439,Standard,Electronic check,No,Both,No,Computer,11.603963414531695,67.31721154622849,12,Comedy,1.4419504776356677,4,Female,19,Yes,No,GV7MY5AEIK,1
102,16.211635225881725,1653.5867930399359,Standard,Bank transfer,No,Movies,No,Mobile,18.46942187709194,174.4335497728754,41,Fantasy,3.1602647712678187,9,Male,22,No,Yes,XGY4W3Z70E,0
84,10.943931732413052,919.2902655226964,Standard,Credit card,Yes,Both,Yes,Mobile,17.391642520965043,118.48103299385237,26,Comedy,3.360495409349178,0,Male,2,No,No,GOG0N1O8H1,1
84,18.439174443912805,1548.8906532886756,Premium,Bank transfer,No,TV Shows,Yes,Mobile,25.138088433946304,178.17464729049615,7,Drama,4.437782373846349,8,Male,6,No,No,PFBSRBJ25C,1
74,9.779833673706516,723.7076918542822,Premium,Electronic check,Yes,Both,Yes,Computer,10.68354576932349,74.04007095084447,18,Drama,2.1375057857643216,0,Female,20,Yes,Yes,7X4DCWNTQR,1
13,12.486617631623163,162.32602921110112,Basic,Electronic check,Yes,TV Shows,No,TV,38.94361814987946,143.0536262190078,34,Sci-Fi,2.012830736,5,Female,12,No,No,0V3RALER7H,1
60,19.05348543663577,1143.2091261981464,Basic,Electronic check,No,TV Shows,No,TV,24.16476584108588,7.020589092890759,30,Drama,2.329207326993035,7,Male,17,No,No,8CQ78VHQIF,1
26,19.652700986405875,510.97022564655276,Standard,Credit card,Yes,Movies,No,Computer,12.486049097429614,78.89842347912739,10,Sci-Fi,3.295720300018338,7,Female,23,Yes,Yes,1JK9YHW5YD,1
7,5.303885611,37.12719927399868,Standard,Credit card,Yes,TV Shows,Yes,Tablet,32.718784979613766,107.0466169289799,3,Comedy,3.900940497578801,6,Male,24,No,No,59UZO5ZPLQ,1
